,Country,"Density
(P/Km2)",Abbreviation,Agricultural Land( %),Land Area(Km2),Armed Forces size,Birth Rate,Calling Code,Capital/Major City,Co2-Emissions,CPI,CPI Change (%),Currency-Code,Fertility Rate,Forested Area (%),Gasoline Price,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Largest city,Life expectancy,Maternal mortality ratio,Minimum wage,Official language,Out of pocket health expenditure,Physicians per thousand,Population,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,GDP_zscore,Log_GDP
CPI,0.14300369076234518,-0.06853938729580325,0.15515296049489954,0.04150241919949646,0.0481507032133025,0.029600489700753643,0.2113871773121575,-0.04337613321598342,-0.06883922134709183,-0.02838138382543001,1.0,0.7053179066868591,0.11930020547041684,0.1980821482140914,-0.1383678934081961,-0.09931563163783458,-0.05893955607646549,-0.07375976054883265,-0.15368572210470655,0.20815426926207944,0.05043607987248288,-0.22470999457910415,0.16716617656088203,,-0.04247584751195906,0.1593558516556549,-0.18597018502020404,0.01748415335790957,-0.09763193040270418,-0.21292442716395626,0.07110718454422675,0.22852676926879326,0.0016854291941153367,-0.1139855097009005,0.04193367225420274,-0.058939556076465484,-0.07677748606060045
CPI Change (%),0.06922106376121503,-0.11510684492636264,0.07647083357836856,0.14144775081972957,0.07726981738599013,0.07174020659686421,0.21402021835476015,-0.038924610378594696,-0.08148751772250411,0.007462816225946333,0.7053179066868591,1.0,0.09141288230111955,0.19799501926978524,-0.21819777373662796,-0.09610086771253647,-0.013974701435138974,-0.10936469777603089,-0.0506844927801509,0.19077256053921854,-0.004254511523189232,-0.205332226919905,0.13982545717069636,,0.002661531560383114,0.12033806782574163,-0.11675965837814588,0.03640883446807131,-0.167238658445827,-0.26889034729853883,0.3058063552689008,0.22687118116620772,0.03440360357244312,-0.15765232192484097,-0.05831989914265734,-0.013974701435138955,0.0006415069449795648
Currency-Code,0.6718418355883087,-0.152548446917065,0.7448456369073413,0.08606671941341881,-0.0461529433597162,-0.020507223891956295,0.40142767042507677,0.0010806075249363304,0.038691909156509,-0.040113437467857796,0.11930020547041684,0.09141288230111955,1.0,0.3961518967181015,-0.02469273187205563,-0.202378093683168,-0.01481129691205274,-0.04260699014216856,-0.36399657350875936,0.3666109118148018,-0.146767509200877,-0.427102462624378,0.3188626967469034,,0.07600852727606555,0.03262286322025153,-0.3407072391865288,-0.07059516204907584,0.09319254122129876,-0.22763428208682032,-0.10790533928940285,-0.16444055805202487,-0.08509827841623772,-0.16547706679597962,0.11098849530067745,-0.014811296912052819,-0.14028782985134494
Fertility Rate,0.036798406334087326,-0.20863408328408217,0.06153075220563838,0.061068082394504286,-0.10838481776818698,-0.16879231281617676,0.981903495232012,0.026916468864720704,-0.14512471810325084,-0.1573223120430144,0.1980821482140914,0.19799501926978524,0.3961518967181015,1.0,-0.04413896623816762,-0.1421775533674665,-0.16790868635735734,-0.013157575130338137,-0.7117263024783708,0.8733521057443081,-0.16229159129776338,-0.8611740501309385,0.7940274386001678,,-0.16236796223053732,0.18053407623357584,-0.6717839683426268,-0.06932504486258924,0.22290913703895468,-0.42077522545194174,0.10403752424245812,-0.0880773826285172,-0.11550280692124971,-0.39365493340799657,0.024672767445492353,-0.16790868635735745,-0.4132023188798656
Forested Area (%),-0.01400265077328442,-0.19632778465124032,-0.02713377892208191,-0.4182716786199299,0.05519960353707887,-0.011486546754401455,-0.03876536576887934,-0.194747414563573,0.18926507805569473,-0.017205982868494087,-0.1383678934081961,-0.21819777373662796,-0.02469273187205563,-0.04413896623816762,1.0,0.2282006318924074,0.0037316637888936306,0.23954027265986608,-0.04175959414816523,0.037048217470953514,0.19081991374515023,-0.05488273131354626,0.031488953432682425,,0.14438811211003544,-0.2658767182744436,-0.06777464785464515,-0.038040542602587296,0.2707402297846296,0.021274700227052436,-0.0348122214518458,-0.1134317866955832,-0.017124759282495804,-0.19592944128355735,-0.020503023569175435,0.0037316637888936198,-0.026224876303950012
Gasoline Price,-0.015611750129143375,0.22376813375875237,-0.0999980785933793,-0.03637621187578643,-0.2048716995856106,-0.1460952211761378,-0.20407706687945357,-0.13764595120485676,0.021273512180153102,-0.07815777576735149,-0.09931563163783458,-0.09610086771253647,-0.202378093683168,-0.1421775533674665,0.2282006318924074,1.0,-0.03144837274306086,-0.047791782631739325,0.1981486498568082,-0.1647753032681166,-0.018107395243732755,0.2528189924692769,-0.09578858679332246,,0.01000100867457388,-0.2815020865077337,0.23737926323534606,-0.0657686389826298,-0.00376088253805239,0.45094366028013927,0.04516896418855927,0.05062074842895818,-0.07334808677535094,0.007312684860746484,-0.15015346393737114,-0.03144837274306085,-0.036116019662734075
GDP,0.04204086874376167,-0.015033997772709229,0.007160498478788283,0.06242647303519073,0.5529868535559784,0.6401125136862439,-0.19569306321006272,-0.19439983916171538,0.020895476564765033,0.9180806517384993,-0.05893955607646549,-0.013974701435138974,-0.01481129691205274,-0.16790868635735734,0.0037316637888936306,-0.03144837274306086,1.0,-0.02740470641616764,0.21586384627892205,-0.16344790386835023,0.126211102067708,0.17832148571834447,-0.12468088456194536,,0.12004291799898201,-0.14333012056619274,0.08491938185753595,0.6269477997861989,0.027537607173478633,-0.12828572385308082,0.09588539661366588,0.07840176196290818,0.7792889353506619,0.13637632217772966,-0.04197642330135753,1.0000000000000002,0.538310886331485
Gross primary education enrollment (%),-0.1409740823228881,0.035456276479442154,-0.08206034622172138,0.007271504974384442,-0.005672005481583142,0.0308361539536106,0.06974472147030532,-0.05404231044978002,0.04584537965303419,-0.017862096645017415,-0.07375976054883265,-0.10936469777603089,-0.04260699014216856,-0.013157575130338137,0.23954027265986608,-0.047791782631739325,-0.02740470641616764,1.0,-0.15174170114767124,0.09591029175234318,-0.07375136961231717,-0.06527512697072294,0.03264145403030717,,0.05380043315474812,-0.1027461399464016,-0.17192556052610533,0.03579766608062276,0.3114018682055041,0.0013649019273157383,0.1594948485442621,-0.06036850096840552,0.01756418549265788,-0.2725757445107855,0.021500425653060644,-0.027404706416167653,-0.08661126624404304
Gross tertiary education enrollment (%),-0.10259998901982506,-0.0280517374197038,-0.1475367690100409,-0.018300626063253812,0.2655651604289074,0.10874070751786698,-0.7652946582138846,-0.17244208185778892,0.15600479271368956,0.16273368178890305,-0.15368572210470655,-0.0506844927801509,-0.36399657350875936,-0.7117263024783708,-0.04175959414816523,0.1981486498568082,0.21586384627892205,-0.15174170114767124,1.0,-0.750650662855232,0.20665960446522885,0.7605509373903216,-0.6278877275937762,,0.13353874184059425,-0.2528394453447711,0.7669532322058212,0.0005196892942642288,-0.1793266045146399,0.3485030868781599,0.04087238480071839,0.18950598331145863,0.0783739206466179,0.3299630882556287,-0.05127463288851892,0.21586384627892202,0.5122098692424738
Infant mortality,0.002006695611922642,-0.09905135420124327,0.03632703532030328,0.05937392446593663,-0.11187484069319897,-0.061351479497765454,0.8837676564500336,-0.04261944755832742,-0.0926828410957633,-0.1376011594981343,0.20815426926207944,0.19077256053921854,0.3666109118148018,0.8733521057443081,0.037048217470953514,-0.1647753032681166,-0.16344790386835023,0.09591029175234318,-0.750650662855232,1.0,-0.16260001271148752,-0.9305856495499976,0.8823003677903777,,-0.15260170857481467,0.33646872937132066,-0.7154819071885572,0.02245157514101123,0.19693376386907183,-0.447779312018572,0.09272685550203806,-0.12207571262909998,-0.04818536121391566,-0.3983516731867158,0.061903443527170254,-0.16344790386835026,-0.4008266562486154
